run_id,final_state,target_character,pe,gpt_model,branch_factor,exp_name,evaluator,total_iterations,n_self_alignment,feedback_type,feedback_input_type,total_timesteps,n_aux_worst,n_aux_best,reward_feature,fewshot,problem,seed,Evaluation/llm_iteration,Evaluation/acc_imp_perc,Evaluation/exist_imp_perc,Evaluation/reach_imp_perc,Evaluation/path_length,Evaluation/fn_imp_perc,Evaluation/fp_imp_perc,Evaluation/tn_imp_perc,Evaluation/tp_imp_perc,Evaluation/solvability,Evaluation/playability,score,Evaluation/naive_playability
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-2,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,2,2,0.5333333611488342,0.8666667342185974,0.7666667103767395,26.666667938232425,1.4000000953674316,0.0,1.133333444595337,0.4666666984558105,0.5666667222976685,0.7000000476837158,0.5333333611488342,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-2,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,2,3,0.0,0.0,0.0,26.000001907348633,3.000000238418579,0.0,0.0,0.0,0.0,1.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-2,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,2,4,0.0,0.0,0.0,26.000001907348633,3.000000238418579,0.0,0.0,0.0,0.0,1.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-2,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,2,5,0.0,0.0,0.0,26.000001907348633,3.000000238418579,0.0,0.0,0.0,0.0,1.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-2,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,2,6,0.0,0.9333333969116212,0.2000000178813934,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-3,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,3,1,0.1666666716337204,1.0,0.6666666865348816,26.25,2.500000238418579,0.0,0.3333333432674408,0.1666666716337204,0.1666666716337204,0.2666666805744171,0.1666666716337204,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-3,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,3,2,0.1333333402872085,0.9333333969116212,0.6000000238418579,27.11111068725586,2.6000001430511475,0.0,0.2666666805744171,0.1333333402872085,0.1333333402872085,0.3000000119209289,0.1333333402872085,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-3,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,3,3,0.1333333402872085,0.9333333969116212,0.6000000238418579,27.11111068725586,2.6000001430511475,0.0,0.2666666805744171,0.1333333402872085,0.1333333402872085,0.3000000119209289,0.1333333402872085,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-3,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,3,4,0.0666666701436042,0.9333333969116212,0.4666666984558105,30.0,2.8000001907348633,0.0,0.1333333402872085,0.0666666701436042,0.0666666701436042,0.1000000089406967,0.0666666701436042,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-3,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,3,5,0.0666666701436042,0.9333333969116212,0.4666666984558105,30.0,2.8000001907348633,0.0,0.1333333402872085,0.0666666701436042,0.0666666701436042,0.1000000089406967,0.0666666701436042,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-3,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,3,6,0.0,0.8666667342185974,0.2000000178813934,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-2_1_s-2,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,2,1,0.0,0.7166666984558105,0.0666666701436042,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-2_1_s-2,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,2,2,0.0222222246229648,0.5166667103767395,0.5166667103767395,26.000001907348633,2.933333396911621,0.0,0.0333333350718021,0.0333333350718021,0.0333333350718021,1.0,0.0222222246229648,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-2_1_s-2,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,2,3,0.055555559694767,0.8333333730697632,0.3666666746139526,26.0,2.8333334922790527,0.0,0.0666666701436042,0.1000000089406967,0.0666666701436042,0.0666666701436042,0.055555559694767,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-2_1_s-2,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,2,4,0.0,0.7000000476837158,0.1000000089406967,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-2_1_s-2,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,2,5,0.0,0.7000000476837158,0.1000000089406967,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-2_1_s-2,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,2,6,0.0,0.7000000476837158,0.1000000089406967,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-4,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,4,1,0.0,0.4333333671092987,0.0666666701436042,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-4,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,4,2,0.233333334326744,0.4666666984558105,0.4666666984558105,26.000001907348633,2.3000001907348633,0.0,0.6000000238418579,0.1000000089406967,0.3000000119209289,1.0,0.233333334326744,
